fiscal_year,period,quarter,begin_date,end_date,weeks
2025,4,1,2025-04-27,2025-05-24,4
2025,5,2,2025-05-25,2025-06-21,4
2025,6,2,2025-06-22,2025-07-19,4
2025,7,2,2025-07-20,2025-08-16,4
2025,8,3,2025-08-17,2025-09-13,4
2025,9,3,2025-09-14,2025-10-11,4
2025,10,3,2025-10-12,2025-11-08,4
2025,11,4,2025-11-09,2025-12-06,4
2025,12,4,2025-12-07,2026-01-03,4
2025,13,4,2026-01-04,2026-01-31,4
2026,1,1,2026-02-01,2026-02-28,4
2026,2,1,2026-03-01,2026-03-28,4
2026,3,1,2026-03-29,2026-04-25,4
2026,4,1,2026-04-26,2026-05-23,4
2026,5,2,2026-05-24,2026-06-20,4
2026,6,2,2026-06-21,2026-07-18,4
2026,7,2,2026-07-19,2026-08-15,4
2026,8,3,2026-08-16,2026-09-12,4
2026,9,3,2026-09-13,2026-10-10,4
2026,10,3,2026-10-11,2026-11-07,4
2026,11,4,2026-11-08,2026-12-05,4
2026,12,4,2026-12-06,2027-01-02,4
2026,13,4,2027-01-03,2027-01-30,4
2027,1,1,2027-01-31,2027-02-27,4
2027,2,1,2027-02-28,2027-03-27,4
2027,3,1,2027-03-28,2027-04-24,4
2027,4,1,2027-04-25,2027-05-22,4
2027,5,2,2027-05-23,2027-06-19,4
2027,6,2,2027-06-20,2027-07-17,4
2027,7,2,2027-07-18,2027-08-14,4
2027,8,3,2027-08-15,2027-09-11,4
2027,9,3,2027-09-12,2027-10-09,4
2027,10,3,2027-10-10,2027-11-06,4
2027,11,4,2027-11-07,2027-12-04,4
2027,12,4,2027-12-05,2028-01-01,4
2027,13,4,2028-01-02,2028-01-29,4
2028,1,1,2028-01-30,2028-02-26,4
2028,2,1,2028-02-27,2028-03-25,4
2028,3,1,2028-03-26,2028-04-22,4
2028,4,1,2028-04-23,2028-05-20,4
2028,5,2,2028-05-21,2028-06-17,4
2028,6,2,2028-06-18,2028-07-15,4
2028,7,2,2028-07-16,2028-08-12,4
2028,8,3,2028-08-13,2028-09-09,4
2028,9,3,2028-09-10,2028-10-07,4
2028,10,3,2028-10-08,2028-11-04,4
2028,11,4,2028-11-05,2028-12-02,4
2028,12,4,2028-12-03,2028-12-30,4
2028,13,4,2028-12-31,2029-02-03,5
2029,1,1,2029-02-04,2029-03-03,4
2029,2,1,2029-03-04,2029-03-31,4
2029,3,1,2029-04-01,2029-04-28,4
2029,4,1,2029-04-29,2029-05-26,4
2029,5,2,2029-05-27,2029-06-23,4
2029,6,2,2029-06-24,2029-07-21,4
2029,7,2,2029-07-22,2029-08-18,4
2029,8,3,2029-08-19,2029-09-15,4
2029,9,3,2029-09-16,2029-10-13,4
2029,10,3,2029-10-14,2029-11-10,4
2029,11,4,2029-11-11,2029-12-08,4
2029,12,4,2029-12-09,2030-01-05,4
2029,13,4,2030-01-06,2030-02-02,4
2030,1,1,2030-02-03,2030-03-02,4
2030,2,1,2030-03-03,2030-03-30,4
2030,3,1,2030-03-31,2030-04-27,4
2030,4,1,2030-04-28,2030-05-25,4
2030,5,2,2030-05-26,2030-06-22,4
2030,6,2,2030-06-23,2030-07-20,4
2030,7,2,2030-07-21,2030-08-17,4
2030,8,3,2030-08-18,2030-09-14,4
2030,9,3,2030-09-15,2030-10-12,4
2030,10,3,2030-10-13,2030-11-09,4
